German,Russian
die,тот
und,и
der,тот
in,в
das,тот
den,тот
zu,к
mit,с
ist,является
von,от
für,для
auf,на
nicht,нет
es,это
ein,а
im,в
auch,также
sich,сам
ich,я
sie,она
eine,один
dem,дем
des,тот
an,к
als,как
werden,становиться
bei,в
sind,являются
dass,что
so,так
oder,или
wie,Как
aus,из
wir,мы
aber,но
wird,становится
nach,после
man,мужчина
er,он
hat,имеет
noch,все еще
einen,а
nur,только
um,к
am,в
einer,один
zum,для
kann,может
einem,а
über,выше
war,был
wenn,если
haben,иметь
durch,через
dann,затем
vor,до
zur,к
mehr,более
was,Что
diese,этот
da,там
können,может
schon,уже
sein,быть
bis,до
wurde,стал
hier,здесь
sehr,очень
wieder,снова
immer,всегда
uns,нас
ihr,ее
mir,мне
mal,только
ihre,ее
alle,все
dieser,этот
doch,но
habe,иметь
gibt,дает
vom,из
mich,мне
unter,под
du,ты
ja,Да
keine,нет
gut,хороший
damit,с ним
hatte,имел
ganz,довольно
beim,в
eines,один
denn,потому что
muss,должен
nun,так
Zeit,Время
seine,его
jetzt,сейчас
etwas,что-нибудь
gegen,против
dabei,включено
also,так
viel,много
diesem,этот
ab,прочь
viele,много
zwei,два
anderen,другие
ohne,без
selbst,сам
alles,все
sowie,а также 
Menschen,Люди
waren,были
seit,с
einfach,просто
geht,идет
Jahr,Год
dieses,этот
heute,сегодня
sondern,скорее
neue,новый
wurden,стал
Jahren,годы
bereits,уже
machen,делать
sollte,должен
ob,ли
weil,потому что
soll,должен
ihrer,их
ihren,твой
dazu,кроме того
dies,этот
ersten,первый
zwischen,между
ihnen,их
bin,являюсь
lassen,позволять
andere,другой
meine,мой
seiner,его
Jahre,Годы
unsere,наш
leben,жизнь
wer,ВОЗ
neuen,новый
weiter,дальше
kommt,приходит
müssen,должен
einmal,один раз
wo,где
dort,там
erst,первый
kein,нет
natürlich,естественно
ihn,ему
diesen,этот
jedoch,однако
konnte,мог
ihm,ему
würde,бы
finden,находить
drei,три
seinen,его
will,воля
nichts,ничего
uhr,часы
macht,мощь
allem,все
sei,быть
Euro,евро
wirklich,Действительно
ins,в
steht,стенды
kommen,приходить
daß,что
gerade,прямой
Deutschland,Германия
während,пока
Tag,день
allerdings,однако
Kinder,Дети
dafür,для этого
wäre,были
welche,который
Ende,Конец
wohl,вероятно
mein,мой
einige,некоторый
Weg,Прочь
jeder,каждый
letzten,последний
sehen,видеть
allen,все
weitere,более
besonders,особенно
zwar,то есть
neben,рядом с
vielen,много
vielleicht,возможно
beiden,оба
Welt,Мир
ihrem,их
unternehmen,компания
wollen,хотеть
liegt,ложь
Teil,Часть
seinem,его
stehen,стоять
bzw.,или
fast,почти
Stadt,Город
erste,первый
euch,ты
gar,даже
sogar,даже
geben,давать
deutschen,немецкий
möglich,возможный
etwa,примерно
schnell,быстрый
Seite,Страница
großen,большой
Frage,Просить
denen,те
eigentlich,на самом деле
unserer,наш
gehen,идти
gute,хороший
Arbeit,Работа
recht,верно
oft,часто
genau,Точно
lange,длинный
wenig,немного
leider,к сожалению
hatten,имел
davon,из этого
Thema,Тема
gemacht,сделал
Fall,случай
eigenen,собственный
dir,ты
könnte,мог
unser,наш
große,размер
zusammen,вместе
bietet,предложения
besser,лучше
Frau,Женщина
möchte,хотеть
darauf,на нем
gab,отдал
Spiel,Игра
rund,вокруг
Art,Искусство
gleich,даже
hätte,бы
Platz,Место
Prozent,процент
Beispiel,Пример
sicher,безопасный
daher,поэтому
wissen,знание
kleinen,маленький
paar,пара
de,де
meiner,мой
kam,пришел
findet,находит
sagen,сказать
gerne,с радостью
deshalb,по этой причине
zurück,назад
jeden,каждый
sollten,должен
statt,вместо
lässt,давайте
Liebe,Любовь
richtig,правильный
kleine,маленький
stellen,место
fragen,вопросы
deren,чей
worden,иметь
weiß,белый
sollen,должен
tun,делать
erhalten,получать
wegen,из-за
eher,скорее
weniger,меньше
direkt,прямой
ebenfalls,также
darüber,об этом
ging,шел
Informationen,информация
nie,никогда
Bereich,Область
später,позже
ganze,весь
dich,ты
hin,там
warum,Почему
hab,иметь
vier,четыре
nehmen,брать
sieht,видит
geschichte,история
je,каждый
Kunden,Клиенты
keinen,никто
werde,становиться
aller,все
kurz,короткий
Geld,Деньги
bekommen,получать
gilt,применяется
Möglichkeit,Возможность
nächsten,следующий
deutlich,четко
außerdem,помимо этого
Frauen,Женщины
arbeiten,работа
bleibt,останки
klar,прозрачный
kaum,едва
eben,даже
meinen,иметь в виду
wollte,в розыске
Ziel,Цель
Berlin,Берлин
zeigt,шоу
Mann,Мужчина
Buch,Книга
rahmen,рамка
konnten,мог
besten,лучший
bitte,пожалуйста
somit,таким образом
stand,стоять
sagt,говорит
Bild,Картина
darf,может
Entwicklung,Разработка
gehört,слышал
pro,за
zudem,кроме того
wichtig,важный
Internet,Интернет
Wasser,Вода
spielen,играть
bieten,предложение
Tage,дни
neu,новый
Woche,Неделя
Minuten,минут
unseren,наш
stellt,представляет
Verfügung,Утилизация
bisher,до настоящего времени
deutsche,немецкий
verschiedenen,другой
Land,страна
guten,хороший
Ort,Расположение
schön,хороший
gegenüber,противоположный
solche,такой
kosten,расходы
Form,форма
weit,далеко
weiteren,дальше
Wochen,недели
zweiten,второй
musste,имел
Haus,Дом
dank,благодаря
eigene,собственный
meisten,большинство
bleiben,оставаться
insgesamt,в общей сложности
Grund,Причина
Problem,проблема
besteht,состоит
sagte,сказал
jede,каждый
nachdem,после
ebenso,также
beide,оба
anders,другой
danach,после
Familie,Семья
meinem,мой
alten,старый
bringen,приносить
daran,к нему
Leute,Люди
aufgrund,из-за
Eltern,Родители
gemeinsam,вместе
sofort,немедленно
dessen,чей
halten,держать
nutzen,использовать
Hand,рука
lesen,читать
leicht,свет
anfang,начало
jedem,каждый
bekannt,известный
Hilfe,Помощь
Blick,Вид
schließlich,окончательно
dadurch,посредством этого
Zukunft,Будущее
Namen,имена
sowohl,а также
überhaupt,совсем
unserem,наш
zunächst,первый
Stunden,Часы
hinter,позади
hast,иметь
heißt,называется
Stelle,позиция
finde,находить
Einsatz,Миссия
Team,команда
trotz,несмотря на
Millionen,миллионы
insbesondere,в частности
gewesen,был
Musik,Музыка
endlich,окончательно
sonst,в противном случае
weise,способ
per,к
innerhalb,в пределах
Schule,Школа
fünf,пять
zeigen,показывать
fest,твердо
ganzen,весь
führen,вести
führt,лиды
Artikel,Статья
stark,сильный
allein,один
liegen,класть
Personen,лица
Mai,Может
Seiten,страницы
oben,выше
trotzdem,несмотря на это
Bilder,Фотографии
meist,большинство
Film,фильм
obwohl,хотя
Daten,Данные
Erfolg,Успех
würden,бы
jedes,каждый
kind,ребенок
verschiedene,другой
Probleme,Проблемы
neues,новый
Gott,Бог
hinaus,в
Abend,Вечер
mehrere,несколько
damals,в это время
Preis,Цена
lernen,учиться
beispielsweise,например
einzelnen,индивидуальный
Gruppe,группа
weiterhin,более того
deine,твой
nämlich,а именно
fand,найденный
zumindest,по меньшей мере
Juni,Июнь
Richtung,Направление
gesagt,сказал
hallo,Привет
Gesellschaft,Компания
mitarbeiter,сотрудники
einigen,некоторый
lang,длинный
schwer,трудный
hoch,высокий
Programm,программа
Augen,Глаза
welches,который
dennoch,тем не менее
geworden,становиться
Rolle,роль
wert,ценить
